rel_time_ms,sensor,value
1600.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1600.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1600.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1600.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1600.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1600.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1600.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1700.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1700.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1700.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1700.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1700.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1700.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1700.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1700.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1800.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1800.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1800.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1800.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1800.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1800.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1800.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1800.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
1900.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
1900.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
1900.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
1900.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
1900.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
1900.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
1900.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
1900.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2000.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2000.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2000.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2000.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2000.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2000.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2000.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2000.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2100.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2100.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2100.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2100.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2100.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2100.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2100.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2100.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2200.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2200.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2200.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2200.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2200.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2200.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2200.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2200.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2300.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2300.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2300.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2300.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2300.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2300.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2300.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2300.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2400.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2400.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2400.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2400.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2400.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2400.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2400.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2400.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2500.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2500.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2500.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2500.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2500.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2500.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2500.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
2500.0,TSL4_UpperScreen_spec.Room518a_WP2,8985.0
2600.0,TSL1_LowerScreen_spec.Room518a_WP1,6600.0
2600.0,TSL1_LowerScreen_spec.Room518a_WP2,6966.0
2600.0,TSL2_Keyboard_spec.Room518a_WP1,13005.0
2600.0,TSL2_Keyboard_spec.Room518a_WP2,5372.0
2600.0,TSL3_UpperScreen_spec.Room518a_WP1,9491.0
2600.0,TSL3_UpperScreen_spec.Room518a_WP2,5835.0
2600.0,TSL4_UpperScreen_spec.Room518a_WP1,9353.0
