rel_time_ms,sensor,value
908.27,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
908.27,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1008.74,Illuminance.Room518a_Ceiling,184.17
1008.74,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1008.74,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1008.74,TSL2_Keyboard_spec.Room518a_WP1,1421.0
1008.74,TSL2_Keyboard_spec.Room518a_WP2,775.0
1008.74,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
1008.74,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1008.74,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1008.74,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1109.93,Illuminance.Room518a_Ceiling,184.17
1109.93,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1109.93,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1109.93,TSL2_Keyboard_spec.Room518a_WP1,1421.0
1109.93,TSL2_Keyboard_spec.Room518a_WP2,775.0
1109.93,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
1109.93,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1109.93,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1109.93,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1211.12,Illuminance.Room518a_Ceiling,184.17
1211.12,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1211.12,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1211.12,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1211.12,TSL2_Keyboard_spec.Room518a_WP2,792.0
1211.12,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
1211.12,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1211.12,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1211.12,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1312.29,Illuminance.Room518a_Ceiling,184.17
1312.29,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1312.29,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1312.29,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1312.29,TSL2_Keyboard_spec.Room518a_WP2,792.0
1312.29,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
1312.29,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1312.29,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1312.29,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1413.49,Illuminance.Room518a_Ceiling,184.17
1413.49,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1413.49,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1413.49,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1413.49,TSL2_Keyboard_spec.Room518a_WP2,792.0
1413.49,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
1413.49,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1413.49,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1413.49,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1514.71,Illuminance.Room518a_Ceiling,184.17
1514.71,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1514.71,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1514.71,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1514.71,TSL2_Keyboard_spec.Room518a_WP2,792.0
1514.71,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
1514.71,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1514.71,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1514.71,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1615.87,Illuminance.Room518a_Ceiling,184.17
1615.87,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1615.87,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1615.87,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1615.87,TSL2_Keyboard_spec.Room518a_WP2,792.0
1615.87,TSL3_UpperScreen_spec.Room518a_WP1,1569.0
1615.87,TSL3_UpperScreen_spec.Room518a_WP2,681.0
1615.87,TSL4_UpperScreen_spec.Room518a_WP1,1388.0
1615.87,TSL4_UpperScreen_spec.Room518a_WP2,1248.0
1716.79,Illuminance.Room518a_Ceiling,184.17
1716.79,TSL1_LowerScreen_spec.Room518a_WP1,685.0
1716.79,TSL1_LowerScreen_spec.Room518a_WP2,873.0
1716.79,TSL2_Keyboard_spec.Room518a_WP1,1455.0
1716.79,TSL2_Keyboard_spec.Room518a_WP2,792.0
1716.79,TSL3_UpperScreen_spec.Room518a_WP1,1607.0
